Time (sec)	Radius (micrometer)
0.500000	59.513027
1.000000	66.368389
1.500000	69.506166
2.000000	71.700852
2.500000	74.735925
3.000000	76.007795
3.500000	76.695256
4.000000	78.039551
4.500000	79.598386
5.000000	80.075493
5.500000	80.079624
6.000000	81.495363
6.500000	82.598934
7.000000	83.172805
7.500000	84.919440
8.000000	85.155809
8.500000	85.718415
9.000000	85.920147
9.500000	86.000243
10.000000	87.120934
10.500000	87.507943
11.000000	87.786892
11.500000	87.060409
12.000000	88.086562
12.500000	88.113767
13.000000	88.436448
13.500000	89.082172
14.000000	89.139957
14.500000	89.210538
15.000000	89.356928
15.500000	90.312937
16.000000	90.406557
16.500000	90.754907
17.000000	90.88941
17.500000	91.096467
